control_id,control_statement,family,gate,overlay,allocation,status,evidence,evidence_date,rationale,owner,residual_risk,review_date,todo_ref
SCA-GOV-01,Named individual owns security decisions with release veto,GOV,I,ALL,PROC,Not Determined,,,,,,,
SCA-GOV-02,Expected customer and use cases written down,GOV,I-LOCK,ALL,DOC,Not Determined,,,,,,,
SCA-GOV-03,SL-T assigned; SL-C and SL-A tracked separately,GOV,I-LOCK,ALL,DOC,Not Determined,,,,,,,
SCA-GOV-04,Threat model exists and names adversary capability,GOV,I,ALL,DOC,Not Determined,,,,,,,
SCA-GOV-05,Every control has a status and a rationale if not Implemented,GOV,R,ALL,DOC,Not Determined,,,,,,,
SCA-GOV-06,Requirements traceable threat-control-implementation-test,GOV,R,ALL,DOC,Not Determined,,,,,,,
SCA-ID-01,Unique cryptographic identity provisioned in manufacturing,ID,I-LOCK,ALL,HW+FW,Not Determined,,,,,,,
SCA-ID-02,Private key non-extractable from its boundary,ID,I-LOCK,ALL,HW,Not Determined,,,,,,,
SCA-ID-03,Board can attest identity and firmware measurement,ID,I,ALL,HW+FW,Not Determined,,,,,,,
SCA-ID-04,Bus decisions on cryptographic identity not address,ID,C,ALL,FW,Not Determined,,,,,,,
SCA-ID-05,Durable physical identifier matches logical identity,ID,C,ALL,HW,Not Determined,,,,,,,
SCA-ID-06,Product and components enumerable; inventory maintained,ID,C,ALL,FW,Not Determined,,,,,,,
SCA-CFG-01,No default credential or shared key in shipped firmware,CFG,C,ALL,FW,Not Determined,,,,,,,
SCA-CFG-02,Only authorized entities can change configuration,CFG,C,ALL,FW,Not Determined,,,,,,,
SCA-CFG-03,Board restorable to secure default uninitialized state,CFG,C,ALL,FW,Not Determined,,,,,,,
SCA-CFG-04,Config and calibration integrity-protected; corruption refused,CFG,C,ALL,FW,Not Determined,,,,,,,
SCA-CFG-05,Privilege separated: tune vs flash vs unlock-debug,CFG,C,ALL,FW,Not Determined,,,,,,,
SCA-CFG-06,Config changes logged with actor identity and timestamp,CFG,R,ALL,FW,Not Determined,,,,,,,
SCA-DP-01,Crypto primitives current standard and named,DP,C,ALL,FW,Not Determined,,,,,,,
SCA-DP-02,Crypto cycle cost measured against control-loop deadline,DP,I-LOCK,ALL,FW,Not Determined,,,,,,,
